seed,scenario,tick,time_s,position_arrived,status,contained_exact,contained_tol,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,lower_0,lower_1,lower_2,lower_3,lower_4,lower_5,upper_0,upper_1,upper_2,upper_3,upper_4,upper_5
70003,S1,22,0.44,0,VALID_NUMERICAL_BOX,1,1,-0.016308324714745713,2.0115328554553016,-0.012433306673511235,0.0463377305490808,0.0,0.0,-0.08492193611499711,1.9420596370787966,-0.9314890501355303,-0.9757508201667776,-0.00028726148696367194,-0.0035502999683655547,0.025094944918955264,2.058464297592112,0.9320098759598415,1.0594956315499249,0.0008007116635881526,0.0015134679045491592
70003,S1,23,0.46,0,VALID_NUMERICAL_BOX,1,1,-0.01655699084821594,2.012459610066283,-0.012426981486525783,0.048084376045226335,0.0,0.0,-0.10355171711881127,1.9225446206723813,-0.9692455319906274,-1.0156857119706544,-0.000358267487331814,-0.003061673404297016,0.04373514243925565,2.0796542102261903,0.9696647074693454,1.1029807054154774,0.0008309810226799667,0.0015134679055527095
70003,S1,24,0.48,0,VALID_NUMERICAL_BOX,1,1,-0.016805530477946456,2.0134212975871875,-0.0124206465057313,0.049812820083079704,0.0,0.0,-0.12293662775974676,1.9022309064298664,-1.0070079922408641,-1.0556376764207982,-0.00041950095641861553,-0.003061673405300078,0.0631284365897655,2.1017138243376015,1.0073335902849672,1.146448711517981,0.0008612503817918822,0.001513467906555771
70003,S1,25,0.5,0,VALID_NUMERICAL_BOX,1,1,-0.017053943408061083,2.014417553988849,-0.012414301885032702,0.051522365074972425,0.0,0.0,-0.14307678760570713,1.8811181528983258,-1.0447764292472037,-1.095607416896025,-0.0004807344255255086,-0.0030616734063031396,0.08327510839660791,2.124642798571086,1.0450145873032142,1.1898989466588756,0.0008915197409238892,0.0015134679075588327
70003,S1,26,0.52,0,VALID_NUMERICAL_BOX,1,1,-0.01730222944576174,2.0154480012903484,-0.012407947783274741,0.053212320997660545,0.0,0.0,-0.1639723161918152,1.859206004557257,-1.0825508413130849,-1.1355956296669034,-0.0005419678946524932,-0.002912660038239725,0.10417540014383617,2.148440777507412,1.0827076960127895,1.2333307147477497,0.0009217891000759877,0.0015134679085618942
70003,S1,27,0.54,0,VALID_NUMERICAL_BOX,1,1,-0.017550388401427235,2.0165122477103017,-0.012401584364171225,0.05488200568863388,0.0,0.0,-0.18562333301926254,1.8364940919607458,-1.1203312266855388,-1.175603003617324,-0.0006002210964182398,-0.0029126600392426374,0.1258295540652776,2.1731073918055404,1.1204129137784817,1.276743327080766,0.0009520584592481776,0.0015134679095648068
70003,S1,28,0.56,0,VALID_NUMERICAL_BOX,1,1,-0.01779842008871066,2.0176098878240745,-0.012395211796232196,0.05653074513907519,0.0,0.0,-0.20802995755418136,1.8129820318852008,-1.1581175835563466,-1.2156302199690243,-0.0006077251027822635,-0.00291266004024555,0.14823781234205527,2.1986422583503544,1.1581296480995211,1.3201361026161338,0.0009823278184404559,0.0015134679105677194
70003,S1,29,0.58,0,VALID_NUMERICAL_BOX,1,1,-0.018046324324635304,2.018740502726856,-0.012388830252689068,0.058157873783275214,0.0,0.0,-0.23119230922653947,1.7886694274825954,-1.1959099100632342,-1.255677952009179,-0.0006659783045881872,-0.0029126600412484626,0.17140040530527687,2.2250449804059023,1.1958478548699178,1.3635083682465174,0.0010125971776528229,0.001513467911570632
70003,S1,30,0.6,1,VALID_NUMERICAL_BOX,1,1,-0.018294100929689087,2.0199036602025213,-0.01238243991141775,0.05976273478431456,0.0,0.0,-0.024595315495353147,2.0098372598371146,-1.2337082042911054,-1.295746864821163,-0.0007242315064141993,-0.0029126600422513752,0.015404684504646854,2.0498372598371146,1.2335775736493895,1.40685945906827,0.0010428665368852784,0.000219443859909638
70003,S1,31,0.62,0,VALID_NUMERICAL_BOX,1,1,-0.01854174972791744,2.0210989148982077,-0.012376040954859838,0.061344680315826926,0.0,0.0,-0.049269479582224524,1.9839223225376132,-1.2715124642733122,-1.335837615018596,-0.0007824847082602741,-0.002912660043254288,0.04007623597868391,2.077974449021558,1.271318801495082,1.450188718647385,0.0010472554150845184,0.00021944386091255066
70003,S1,32,0.64,0,VALID_NUMERICAL_BOX,1,1,-0.01878927054701464,2.022325808504524,-0.012369633569941862,0.06290307183966287,0.0,0.0,-0.07469972886876547,1.9572055702341342,-1.309317568918741,-1.375950845055553,-0.0008407379101264114,-0.0029126600442572004,0.06550261200966025,2.1069782233976126,1.309071535356218,1.4934954992820624,0.0010516442933038211,0.0002194438619154633
